# nPV   Weight
0  0.0
1  0.0
2  0.348965240899
3  0.242200171375
4  0.254852909547
5  0.316788367675
6  0.368400995783
7  0.422628321144
8  0.454544060072
9  0.424243492146
10  0.484632687116
11  0.504187277432
12  0.54216662922
13  0.575893476252
14  0.603487732459
15  0.631687788221
16  0.668830161427
17  0.694772588899
18  0.718241238661
19  0.753009898751
20  0.77493550779
21  0.823549853691
22  0.855926686731
23  0.896904325967
24  0.935823675694
25  0.970124101646
26  1.00700008685
27  1.07518477068
28  1.13504092902
29  1.21070716853
30  1.23138194991
31  1.32573188731
32  1.37757330906
33  1.47552587078
34  1.55781097457
35  1.65015502353
36  1.75984089705
37  1.88302509371
38  2.02309851858
39  2.14355303122
40  2.28361354626
41  2.46120963662
42  2.67538514104
43  2.77948883147
44  2.88742752692
45  3.21774481663
46  3.34225200079
47  3.61758379392
48  3.87766657701
49  4.04734478622
50  4.44930694541
51  4.87595299086
52  5.06688726113
53  4.78975544226
54  5.06741416368
55  5.31554385613
56  5.72765260129
57  5.42063497847
58  6.53281915977
59  6.69992929212
