# eta         Weight        Error
-5.0      0     0
-4.9      0     0
-4.8      2.11585722344     6.323727317
-4.7      2.09388417709     1.66044507501
-4.6      1.52808567986     0.682826553366
-4.5      1.48612767541     0.472095805388
-4.4      1.26211379932     0.308545917861
-4.3      1.05461855602     0.207097688675
-4.2      1.00020769566     0.161884855922
-4.1      0.934014744533     0.126363805625
-4.0      0.936334659374     0.10708064435
-3.9      0.964104413911     0.0933929391758
-3.8      0.935321106825     0.076568959603
-3.7      0.965919202841     0.0670524895566
-3.6      0.944818919613     0.0551274078056
-3.5      0.956297319228     0.0467762258294
-3.4      0.97111136762     0.0397005201973
-3.3      0.980155086337     0.0335237745968
-3.2      1.00548491507     0.0289914937236
-3.1      1.03580608368     0.0256109718219
-3.0      1.03946017732     0.0223817913534
-2.9      1.040391859     0.0202565207607
-2.8      1.04437775607     0.019203389377
-2.7      1.0489635193     0.0192728950293
-2.6      1.02938251334     0.0197325981501
-2.5      1.0100090571     0.0211962554979
-2.4      0.998368170986     0.0238949695454
-2.3      0.972172581372     0.0268460529105
-2.2      0.915946386612     0.0275933093924
-2.1      0.902245078368     0.0300465665017
-2.0      0.859561840421     0.031225204579
-1.9      0.861470623162     0.0342155454828
-1.8      0.842592321381     0.0362929045572
-1.7      0.832273671526     0.0389641518148
-1.6      0.793679976781     0.0396826946325
-1.5      0.794162011201     0.0425381311364
-1.4      0.780330572085     0.0444496618916
-1.3      0.784461839954     0.0475227678049
-1.2      0.769761297616     0.0489703661054
-1.1      0.757965783629     0.0506353074627
-1.0      0.752949188792     0.0524695485883
-0.9      0.78437952746     0.0570746088062
-0.8      0.767469735942     0.0577591424995
-0.7      0.767726014093     0.0596326645859
-0.6      0.784871108708     0.0628478576576
-0.5      0.756118784636     0.0617755649374
-0.4      0.750115798476     0.0624456186659
-0.3      0.756439596864     0.0638827903375
-0.2      0.760493527093     0.0650540150496
-0.1      0.767881983291     0.0661696832932
0.0      0.76960533214     0.0664221496233
0.1      0.745597960453     0.0640351503652
0.2      0.765976133828     0.0655348157901
0.3      0.739217107679     0.0626106848691
0.4      0.748534539973     0.0625958066213
0.5      0.735995982157     0.0602640611743
0.6      0.760513766194     0.0609146529328
0.7      0.757741120178     0.059151574232
0.8      0.733644588667     0.0554640939386
0.9      0.749843758691     0.0547865212967
1.0      0.736284086817     0.051692300549
1.1      0.752056915124     0.0505914444919
1.2      0.743871983427     0.0476284799862
1.3      0.758989053454     0.0462166449551
1.4      0.743991453802     0.0427111900794
1.5      0.751936585015     0.0405332512022
1.6      0.79534525371     0.0402109717489
1.7      0.797321937718     0.037510411059
1.8      0.822584968985     0.035819159858
1.9      0.83024026593     0.0333051715714
2.0      0.859459184347     0.0315659346229
2.1      0.879845134131     0.029551518533
2.2      0.901947936875     0.0275323898015
2.3      0.948515409819     0.026279648062
2.4      0.982386116094     0.0237536974568
2.5      0.999179926111     0.0212361258724
2.6      1.01778377982     0.0197124771129
2.7      1.04551438023     0.0195317835083
2.8      1.03912886603     0.0191975528831
2.9      1.05881846391     0.0208593996124
3.0      1.06017433319     0.0229353310821
3.1      1.06816434658     0.0265150326464
3.2      1.07429870688     0.031200213239
3.3      1.06279142925     0.0366839264442
3.4      1.03635614797     0.0425602610355
3.5      1.04278441698     0.0512103450081
3.6      1.04078408677     0.0607798103617
3.7      1.0744652273     0.0746159469873
3.8      1.08095754435     0.0889163570629
3.9      1.09647225452     0.106368369466
4.0      1.13686956188     0.130046864588
4.1      1.24025229477     0.168103373299
4.2      1.4043561627     0.227176669743
4.3      1.73800135806     0.341155157091
4.4      2.06654108255     0.503155460757
4.5      2.68908715594     0.84976070447
4.6      4.3878577445     1.98452246378
4.7      6.73698866947     5.1738498904
4.8      21.5090092457     67.3278129253
4.9      0     0
